AAD;https://audio-database.com/AAD/index.html;
Acapella/ATR;https://audio-database.com/ACAPELLA-ATR/index.html;
Accuphase/Kensonic;https://audio-database.com/Accuphase-kensonic/index.html;
Acoustat;https://audio-database.com/ACOUSTAT/index.html;
Acoustic Arts(England);https://audio-database.com/ACOUSTICARTS(eng)/speaker/index.html;
Acoustic Energy;https://audio-database.com/ACOUSTICENERGY/speaker/index.html;
Acustik-Lab;https://audio-database.com/ACUSTIK-LAB/index.html;
ADC;https://audio-database.com/ADC/index.html;
Advent;https://audio-database.com/ADVENT/index.html;
Aerial Acoustics;https://audio-database.com/AERIALACOUSTICS/index.html;
AGI;https://audio-database.com/AGI/index.html;
Air Tight/Acoustic Masterpiece;https://audio-database.com/AIRTIGHT/index.html;
Aiwa/Excelia;https://audio-database.com/AIWA/index.html;
AKAI/A&D;https://audio-database.com/AKAI/index.html;
ALR;https://audio-database.com/ALR/index.html;
Altec Lansing;https://audio-database.com/ALTEC/index.html;
Ampliton;https://audio-database.com/AMPLITON/index.html;
Apogee;https://audio-database.com/APOGEE/index.html;
AR(Acoustic Research);https://audio-database.com/AR/index.html;
Arcam;https://audio-database.com/ARCAM/index.html;
Art Audio;https://audio-database.com/ARTAUDIO/index.html;
Ashidavox;https://audio-database.com/ASHIDAVOX/index.html;
ATC;https://audio-database.com/ATC/index.html;
Audio Alchemy;https://audio-database.com/AUDIOALCHEMY/index.html;
Audio Analogue;https://audio-database.com/AUDIOANALOGUE/index.html;
Audio Craft;https://audio-database.com/AUDIOCRAFT/index.html;
Audio Current;https://audio-database.com/AUDIOCURRENT/index.html;
Audio Devices;https://audio-database.com/AUDIO-DEVICES/index.html;
Audio Interface;https://audio-database.com/AUDIOINTERFACE/etc/index.html;
Audiolab;https://audio-database.com/AUDIOLAB/index.html;
Audionix;https://audio-database.com/AUDIONIX/index.html;
Audio of Oregon;https://audio-database.com/AUDIO_OF_OREGON/index.html;
Audio Research;https://audio-database.com/AUDIORESEARCH/index.html;
Audio Style;https://audio-database.com/AUDIO-STYLE/index.html;
Audio-Technica;https://audio-database.com/AUDIO-TECHNICA/index.html;
Aura;https://audio-database.com/AURA/index.html;
Aurasound;https://audio-database.com/AURASOUND/index.html;
Auratone;https://audio-database.com/AURATONE/index.html;
Aurex/Toshiba;https://audio-database.com/AUREX/index.html;
Avalon Acoustics;https://audio-database.com/AVALON/speaker/index.html;
AV International;https://audio-database.com/AVINTERNATIONAL/index.html;
Ayre;https://audio-database.com/AYRE/index.html;
